record_id,source_doi,trait_module,focal_taxa,age_central_ma,age_lower_ma,age_upper_ma,topology_status,phenotype_resolution,history_class,usable_as_transition,distribution_process,environmental_driver_status,azami_bridge,next_gate,claim_boundary
ORI_CORE_NIPPONO_STEM,"10.1186/s12870-026-08097-6;10.1186/s40529-025-00454-2",orientation,"Cirsium morii | Japanese core Nipponocirsium | Taiwan core Nipponocirsium",0.765,0.43,1.18,crossstudy_reconciliation_not_joint_posterior,"erect C. morii; nodding Japanese and Taiwan core",crossstudy_chronology_refinement,conditional_chronology_only,"core-Nipponocirsium divergence before Japan-Taiwan split",not_evaluable_paleolocation_unresolved,"Azami orientation~BIO12; EAzami present D~higher BIO15/lower BIO1",joint taxon-reconciled chronology plus ancestral-area scenarios,"Central estimates 0.79 and 0.74 Ma are from separate analyses; do not call exact event interval, convergence, selection or adaptation"
COL_KAWAKAMII_TERMINAL_PRIMARY,10.1186/s40529-025-00454-2,flower_colour,"Cirsium kawakamii | Cirsium tatakaense | Cirsium pengii",0.35,0.26,0.45,published_pengii_basal_primary,"white C. kawakamii; purple C. tatakaense and C. pengii",conditional_dated_trait_transition,yes_conditional_C_to_W,"within-Taiwan Nipponocirsium diversification",not_evaluable_no_commensurate_surface_RSDS_history,"Azami visible corolla chroma~RSDS negative",population-linked colour and ancestry plus historical radiative model,"C->W direction is conditional on the primary topology and fixed tip coding; do not call pigment-loss adaptation or reactivation"
COL_KAWAKAMII_TOPOLOGY_UNION,10.1186/s40529-025-00454-2,flower_colour,"Cirsium kawakamii | Cirsium tatakaense | Cirsium pengii",0.235,0.0,0.47,three_frozen_within_trio_topology_union,"white C. kawakamii; purple C. tatakaense and C. pengii",conditional_dated_trait_transition,yes_branch_envelope_only,"within-Taiwan Nipponocirsium diversification",not_evaluable_no_commensurate_surface_RSDS_history,"Azami visible corolla chroma~RSDS negative",retain topology-specific event envelopes and individual colour validation,"0-0.47 Ma is a topology-union branch envelope, not an event-age credible interval"
COL_BREVICAULE_TERMINAL_CONDITIONAL,10.1186/s12870-026-08097-6,flower_colour,"Cirsium brevicaule | Cirsium irumtiense",0.465,0.0,0.93,published_sister_pair,"white C. brevicaule; bluish-purple C. irumtiense",conditional_dated_trait_transition,yes_conditional_C_to_W,"Arenicola divergence across the central Ryukyus",not_evaluable_no_commensurate_surface_RSDS_history,"Azami visible corolla chroma~RSDS negative",population-linked colour ancestry and ancestral-state support,"0-0.93 Ma is a terminal branch envelope; ancestral colour and transition direction remain conditional"
COL_ALBESCENS_TAKAOENSE_POLYMORPHIC,10.1186/s12870-026-08097-6,flower_colour,"Cirsium japonicum var. albescens | Cirsium japonicum var. takaoense",0.44,0.31,0.66,reticulate_Taiwan_complex,"var. albescens white; var. takaoense white and bluish-purple populations",lineage_polymorphic_nonidentifiable,no,"Japan-Taiwan divergence and shallow Taiwan reticulation",not_evaluable_trait_not_lineage_fixed,"Azami visible corolla chroma~RSDS negative",individual/population ancestry-linked colour sampling,"Do not collapse within-lineage colour polymorphism to a species-tip state or manufacture a transition"
PHYL_KAWAKAMII_TATAKAENSE_SISTER_CONTRAST,10.1186/s40529-025-00454-2,phyllary_architecture,"Cirsium kawakamii | Cirsium tatakaense",0.35,0.26,0.45,published_sister_pair,"phyllary length 1.80 cm vs 1.04 cm; counts 99 vs 154",dated_sister_phenotype_contrast,no_trait_transition_not_reconstructed,"high-elevation Taiwan sister divergence",unidentified,"Azami involucre image geometry is not homologous to botanical phyllary posture",authority-homologous ancestral-state and additional independent contrasts,"A dated extant contrast is not a phyllary transition, correlated evolution, defence adaptation or syndrome"
PHYL_BREVICAULE_IRUMTIENSE_SISTER_CONTRAST,10.1186/s12870-026-08097-6,phyllary_architecture,"Cirsium brevicaule | Cirsium irumtiense",0.93,0.71,1.33,published_sister_pair,"inner:outer phyllary ratio 2.24 vs 1.44; clearly vs weakly tiered involucre",dated_sister_phenotype_contrast,no_trait_transition_not_reconstructed,"Arenicola divergence across the central Ryukyus",unidentified,"Azami involucre image geometry is not homologous to botanical phyllary posture",homologous measurements across more dated pairs and ancestral-state reconstruction,"A dated extant contrast is not a reconstructed architecture transition or adaptive syndrome"
DISPLAY_KAWAKAMII_TATAKAENSE_SISTER_CONTRAST,10.1186/s40529-025-00454-2,floral_display,"Cirsium kawakamii | Cirsium tatakaense",0.35,0.26,0.45,published_sister_pair,"white C. kawakamii has longer florets/corolla lobes/synanthers; floret counts 138 vs 254",dated_sister_phenotype_contrast,no_trait_transition_not_reconstructed,"high-elevation Taiwan sister divergence",unidentified,"Azami display endpoints exist but are not directly matched to these authority measurements",homologous display measurements plus pollinator/antagonist function,"Longer florets in the white lineage do not establish a display transition, pollination adaptation or a white-flower syndrome"
DISPLAY_BREVICAULE_IRUMTIENSE_SISTER_CONTRAST,10.1186/s12870-026-08097-6,floral_display,"Cirsium brevicaule | Cirsium irumtiense",0.93,0.71,1.33,published_sister_pair,"floret length 2.94 cm vs 2.59 cm",dated_sister_phenotype_contrast,no_trait_transition_not_reconstructed,"Arenicola divergence across the central Ryukyus",unidentified,"Azami display endpoints exist but are not directly matched to this floral measurement",homologous display measurements plus function and ancestry,"Longer florets in the white lineage are a sister contrast, not evidence of correlated adaptive evolution"
DISP_NIPPONO_JAPAN_TAIWAN_SPLIT,10.1186/s40529-025-00454-2,distribution_process,"Japanese core Nipponocirsium | Taiwan core Nipponocirsium",0.74,0.60,0.87,published_dated_split,"both core clades nodding",biogeographic_process,no,"Japan-Taiwan divergence; authors discuss Quaternary isolation/refugia",not_a_selective_agent,"context for orientation event placement",local ancestral-area/connectivity model before causal use,"Divergence timing is an exposure opportunity, not a trait transition, land-bridge state or selection pressure"
DISP_DOMINANT_JAPAN_FOUNDER,10.1016/j.ympev.2025.108285,distribution_process,"dominant Japanese Cirsium radiation",2.4,1.7,3.6,published_biogeographic_event,"no single capitulum transition mapped",biogeographic_process,no,"Middle-Asia-to-Japan founder event followed by rapid radiation",broad_environment_context_only,"context for Japan38 repeated traits",taxon-reconciled transition-bearing dated branches,"Founder dispersal is not a capitulum transition or proof of ecological/adaptive radiation"
STICK_DIPSACOLEPIS_RANGE_ONLY,10.1016/j.ympev.2025.108285,stickiness,"Cirsium dipsacolepis",1.0,0.4,2.2,published_secondary_jump,"nonsticky or nearly nonsticky tip; relative terminal trait change",range_process_trait_age_unlinked,no,"separate jump dispersal to Japan",unidentified_possible_biotic,"no homologous Azami stickiness axis",reconcile the dated arrival branch with the actual stickiness transition,"Do not assign the dispersal age to the stickiness change or call enemy-mediated adaptation"
STICK_LINEARE_RANGE_ONLY,10.1016/j.ympev.2025.108285,stickiness,"Cirsium lineare",1.4,0.7,2.7,published_range_expansion,"sticky comparator tip; no dated trait transition",range_process_trait_age_unlinked,no,"East-Asia-to-Japan range expansion",unidentified_possible_biotic,"no homologous Azami stickiness axis",reconcile dated history with the actual stickiness transition,"Range expansion is a process comparator, not a dated stickiness event or selective-pressure result"
