question,scale,current_status,strongest_evidence,confidence,unresolved_issue,required_action,sequencing_implication
Deep placement of Carduus-Cirsium within Cardueae,tribe_backbone,resolved_for_project_purposes,Herrando-Moraira 2019 Compositae1061 Hyb-Seq across 76 species plus archived trees,high,limited cytonuclear conflicts remain,import nuclear species tree and retain plastid tree separately,no new EAzami sequencing needed for deep outgroups
Major lineages within Carduinae,subtribe_backbone,mostly_resolved,Moreyra 2023 Hyb-Seq with 986 retained nuclear loci plus Herrando-Moraira 2019,high,some concatenation-coalescent and nuclear-plastid discordance,use topology ensemble rather than one consensus tree,no broad RAD panel needed
Methodological continuity of the nuclear backbone,phylogenomic_method,resolved,Mandel 2014 developed Compositae target enrichment; Mandel 2019 Herrando 2019 Siniscalchi 2023 and Moreyra 2025 extend compatible nuclear-locus frameworks,high,exact overlap among bait versions recovered loci and final retained matrices needs quantification,recover probe and retained-locus lists and build an explicit locus-overlap table,use Compositae1061-compatible target capture for genuine species-level gaps
Generic boundary Cirsium versus Lophiolepis and segregates,generic_circumscription,actively_disputed,Ackerfield 2020; Del Guacchio 2022/2024; Moreyra 2023/2024/2025; Bures 2023/2024,medium_high,monophyly criteria and hybrid taxa produce alternative classifications,store alternative generic names and run nomenclatural sensitivity,do not sequence merely to settle nomenclature; model known hybrids
Global species-level Cirsium nuclear backbone,global_species_tree,strong_but_incomplete,"Moreyra 2025 Compositae1061 target enrichment with 350 retained nuclear loci; Supplementary Table S1 recovered with 299 sample rows; 286 samples linked to PRJNA957074 runinfo",high,final machine-readable species trees branch lengths retained-locus list and orthology filters remain unrecovered,recover or reconstruct final topology artifacts and quantify true taxon gaps after synonym reconciliation,Compositae1061 target capture only for transition-critical species absent after the completed sample audit
Whole-genome references for Cirsium,reference_genomics,emerging_but_sparse,C. nipponicum 2024 draft nuclear genome plus chromosome-level Darwin Tree of Life assemblies for C. heterophyllum and emerging C. dissectum data,medium_high,no dense East Asian pangenome; assembly quality and cytotype representation differ among resources,version assemblies and compare orthology synteny and reference bias before mapping all focal taxa,use genomes as mapping and annotation anchors rather than substitutes for species/population trees
Japanese species radiation,regional_species_tree,sample_membership_substantially_resolved_topology_pending,"Moreyra 2025 Supplementary Table S1 and PRJNA957074 verify public nuclear tips for pendulum sieboldii yezoense japonicum nipponicum lineare dipsacolepis domonii and many additional Japanese taxa",high,exact final sister relationships branch lengths and several historical-name reconciliations remain unavailable,recover final Moreyra tree and resolve tree-code/published-name/NCBI-name conflicts,no generic Japanese species-tree rebuild; use population RAD or resequencing for white/coloured morph history
North American radiation,regional_species_tree,resolved_at_regional_scale,Siniscalchi 2023 Compositae1061 64 taxa plus Moreyra 2025,high,species complexes and populations remain difficult,retain as methodological comparison not sampling target,no EAzami sequencing
Taiwanese Nipponocirsium,regional_local_tree,resolved_species_framework,Chang 2025 phylotranscriptomics plus karyotypes; original C. tatakaense description links purplish-red colour and 2n=64 to the later nuclear lineage,high,population gene flow and homeolog histories remain sparse,recover exact tree and sample populations with ploidy data,RAD or resequencing for kawakamii-tatakaense mechanism and introgression
Taiwanese Sinocirsium and Ryukyu Arenicola,regional_local_tree,resolved_focal_framework,Chang 2026 4083 orthogroups across 37 samples,high,internal takaoense population topology reticulation and colour haplotype ancestry unresolved,recover exact topology then dense morph and population sampling,highest RAD priority for takaoense; population RAD for brevicaule-irumtiense
