pilot_order,sample_id,pilot_role,tree_code,published_species,sra_scientific_name,library_name,biosample,experiments,runs,run_count,region_class,scope_class,tree_code_vs_sra_name,name_reconciliation_priority,name_reconciliation_required,voucher_and_herbarium,rationale,public_locus_sets
1,MRY_EA_01_Cirsium_domonii,Japanese_rapid_radiation_anchor,Cirsium domonii,Cirsium domonii Kadota,Cirsium domonii,Cirsium-domonii_FJ318,SAMN34240283,SRX21011499,SRR25265717,1,Japan,core_east_asia,exact,low,false,"Japan, Honshu, 10.30.2008, Takeo Kuramata s.n. (MBK-0304890)",verified wild Honshu focal tip,public_1061|reproducible_531|conservative_241|paralog_homeolog_aware
2,MRY_EA_02_Cirsium_dipsacolepis,separate_Japanese_invasion_anchor,Cirsium dipsacolepis,Cirsium dipsacolepis Matsum.,Cirsium dipsacolepis,Cirsium_dipsacolepis_FJ363,SAMN44017836,SRX26291339,SRR30887259,1,Japan,core_east_asia,exact,low,false,"Japan. SHIKOKU: Tokushima Pref.; Mt. shiozuka-mine, Kamimyo, Yamashiro-cho, Miyoshi-gun., 7 Oct. 1989, Yutaka Oohira142102-a (MBK-0312393)",verified wild Shikoku tip outside the main Japanese radiation context,public_1061|reproducible_531|conservative_241|paralog_homeolog_aware
3,MRY_EA_03_Cirsium_lineare,cross_study_coloured_anchor,Cirsium lineare,Cirsium lineare (Thunb.) Sch.Bip.,Cirsium lineare,Cirsium_lineare_PE229,SAMN44017876,SRX26291359,SRR30887240,1,Japan,core_east_asia,exact,low,false,"Japan, 09.09.1984, Miyoshi Furuse 52881 (PE01293160)",repeatedly sampled modern nuclear anchor in Moreyra and Chang datasets,public_1061|reproducible_531|conservative_241|paralog_homeolog_aware
4,MRY_EA_04_Cirsium_yezoense,Japanese_coloured_bridge_control,Cirsium yezoense,Cirsium yezoense (Maxim.) Makino,Cirsium yezoense,Cirsium_yezoense_FJ335,SAMN44017952,SRX26291371,SRR30887226,1,Japan,core_east_asia,exact,low,false,"Japan. Honshu: Fukushima Pref., Iwaki-shi, Miwa-machi, Kumakura., ca. 400 m, 17 Sep. 2009, Y. Yuzawa24070 (MBK-0219925)",wild Honshu control relevant to the Japan-Zhejiang bridge,public_1061|reproducible_531|conservative_241|paralog_homeolog_aware
5,MRY_EA_05_Cirsium_argyracanthum,China_Tibet_anchor,Cirsium argyracanthum,Cirsium argyracanthum DC.,Cirsium argyracanthum,Cirsium_argyracanthum_PE242,SAMN44017818,SRX26291293,SRR30887304,1,China,core_east_asia,exact,low,false,"China: Tibet, 10.09.2017, Xu Lian-Sheng, PE6272 (PE01890882)",clean Chinese target-capture sample spanning a distant East Asian lineage,public_1061|reproducible_531|conservative_241|paralog_homeolog_aware
6,MRY_EA_06_Cirsium_fanjingshanense,China_Guizhou_anchor,Cirsium fanjingshanense,Cirsium fanjingshanense C.Shih,Cirsium fanjingshanense,Cirsium-fanjingshanense_PE221,SAMN34240294,SRX21011511,SRR25265705,1,China,core_east_asia,exact,low,false,"China, Guizhou Province, 08.10.2020, Tiangang Gao GTG-10999. (GTG10999)",clean southwestern Chinese sample for cross-region recovery diagnostics,public_1061|reproducible_531|conservative_241|paralog_homeolog_aware
7,MRY_EA_07_Cirsium_fargesii,China_Hubei_anchor,Cirsium fargesii,Cirsium fargesii (Franch.) Diels,Cirsium fargesii,Cirsium_fargesii_PE237,SAMN44017847,SRX26291413,SRR30887183,1,China,core_east_asia,exact,low,false,"China: Hubei province, 23.08.1973, E-Shennongjia Team, 22640 (PE01039705)",clean central Chinese sample for geographic and lineage breadth,public_1061|reproducible_531|conservative_241|paralog_homeolog_aware
8,MRY_EA_08_Cirsium_kamtschaticum,Russian_Far_East_northern_bridge,Cirsium kamtschaticum,Cirsium kamtschaticum Ledeb. ex DC.,Cirsium kamtschaticum,Cirsium_kamtschaticum_MW161,SAMN44017865,SRX26291347,SRR30887251,1,Russian_Far_East,northeast_asia_bridge,exact,low,false,"Siberia: Chukotka & Kamchatka, 06.08.2017, Ivanova M., Tikhomirov N., Kopylov-Guskov Y., Volkova P. (MW0162816)",Kamchatka-Chukotka bridge lineage with exact submitted name,public_1061|reproducible_531|conservative_241|paralog_homeolog_aware
9,MRY_EA_09_Cirsium_coryletorum,Russian_Far_East_name_reconciliation_test,Cirsium coryletorum,Cirsium coryletorum Kom.,Cirsium vlassovianum,Cirsium-coryletorum_MW163,SAMN34240275,SRX21011616,SRR25265601,1,Russian_Far_East,northeast_asia_bridge,different_submitted_or_published_name,high,true,"Russia, Yu. Sikhote-Alin. 08.30.1944, Zhudova P., Pokrovskaya 3354 (MW0150743)","Sikhote-Alin sample published as C. coryletorum and submitted as C. vlassovianum; retained deliberately to test name-safe joins",public_1061|reproducible_531|conservative_241|paralog_homeolog_aware
10,MRY_EA_10_Cirsium_pendulum,Trans_Baikal_focal_bridge,Cirsium pendulum,Cirsium pendulum Fisch. ex. DC.,Cirsium pendulum,Cirsium-pendulum_MW157,SAMN34240327,SRX21011568,SRR25265649,1,Russian_Inner_NE_Asia,northeast_asia_bridge,exact,low,false,"Russia, Trans-Baikal Territory, 07.22.2011, N.S. Gamova, S.V. Dudov, No. 11 0183 (MW0150574)",continental nuclear anchor for the Japanese white-purple population system,public_1061|reproducible_531|conservative_241|paralog_homeolog_aware
