result_id,question,estimand,scope,headline_value,uncertainty_or_test,decision,main_figure,claim_boundary
R1,state_conservation,continuous phenotype state vs phylogenetic relatedness,8 primary units nobs>=2 and >=5,"0/8 BH-supported at both thresholds; scalar Pagel lambda MLE=0 for all 7 scalar units","high-depth lightness rho=-0.7071 raw two-sided P=0.04444 but BH q=0.35556",no robust continuous state conservation,Fig2,"Does not prove convergence or evolutionary rate"
R2_orientation,recurrence,minimum unordered discrete-state changes,orientation 20 resolved,"ML=6; UFBoot range 4-6; median=5","1000 topology ensemble",repeated orientation change supported,Fig3,"Minimum-change lower bound; not adaptive-convergence count"
R2_phyllary,recurrence,minimum unordered discrete-state changes,phyllary posture 10 resolved,"ML=3; UFBoot 1000/1000=3","root state remains ambiguous",repeated phyllary change supported,Fig3,"Minimum-change lower bound"
R2_stickiness,recurrence,minimum unordered discrete-state changes,stickiness 13 resolved,"ML=5; UFBoot 1000/1000=5","JPN24 authority repair included",repeated stickiness change supported,Fig3,"Minimum-change lower bound; independent origin unresolved"
R3,change_localization,mean pairwise Spearman among standardized BM-conditional branch-change magnitudes,8 continuous units x 14 ML branches,"rho_mean=0.408006","independent branch permutation P=0.00010",broad continuous change coordinated on ML phylogram,Fig4,"Substitution-length structural diagnostic; not rate/Myr"
R4,module_specificity,within-module minus between-module branch-change coupling,8 continuous units,"within=0.494994; between=0.366802; contrast=0.128192","exact module-label P=0.167857",not significantly restricted to present-day modules,Fig4,"Does not establish genetic/developmental modularity"
R5_global_topology,topology_sensitivity,global mean branch-change coupling across equal-branch UFBoot trees,1000/1000 usable,"median=0.141287; q05=0.118995; q95=0.199615; fraction_positive=1.000","predeclared robust-positive rule q05>0 and fraction_positive>=0.95: PASS",broad coordinated change topology-robust,Fig5,"Equal branches remove substitution-length information; no absolute-time claim"
R5_module_topology,topology_sensitivity,within-minus-between module coupling across equal-branch UFBoot trees,1000/1000 usable,"median=0.112435; q05=-0.095160; fraction_positive=0.946","predeclared robust-positive rule: FAIL",module specificity not topology-robust,Fig5,"Do not call fixed evolutionary modules"
R6_op,discrete_shared_history,orientation-phyllary transition-posterior overlap,equal-branch UFBoot,"median=-0.059394; fraction_positive=0.3488","branch-length-aware ML sign differs",not topology-robust,Fig5,"Mk overlap diagnostic only"
R6_os,discrete_shared_history,orientation-stickiness transition-posterior overlap,equal-branch UFBoot,"median=-0.387012; fraction_positive=0.009","ML excess rho=0.201882 P=0.0042 but topology-only reverses sign",not topology-robust,Fig5,"Do not infer one shared lability axis"
R6_ps,discrete_shared_history,phyllary-stickiness transition-posterior overlap,equal-branch UFBoot,"median=0.183990; fraction_positive=0.7823","q05=-0.073454",not topology-robust,Fig5,"Do not infer one shared lability axis"
