priority,taxon,role,data_type,bioproject,biosample,experiment,run_or_accession,geographic_source,status,next_test
1,Cirsium dipsacolepis,putative_secondary_arrival,nuclear_target_capture,PRJNA957074,SAMN44017836,SRX26291339,SRR30887259,"Japan: Shikoku; Tokushima; Mt. Shiozuka-mine",verified_in_frozen_moreyra_reconciliation,"re-place in the current 294/296 nuclear tree; identify nearest continental branch; require BWA/BLASTx and concat/ASTRAL stability"
1,Cirsium lineare,replicated_phylogenetic_exception,nuclear_target_capture,PRJNA957074,SAMN44017876,SRX26291359,SRR30887240,Japan,verified_in_frozen_moreyra_reconciliation,"re-place in the current 294/296 nuclear tree and compare to continental C. lineare/near relatives"
1,Cirsium lineare,independent_marker_anchor,nuclear_ribosomal,,, ,AF443727,unspecified_public_GenBank,verified_public_accession,"use ITS only as concordance diagnostic; do not use to override high-dimensional nuclear topology"
1,Cirsium lineare,independent_marker_anchor,nuclear_ribosomal,,, ,AF443779,unspecified_public_GenBank,verified_public_accession,"use ETS only as concordance diagnostic; do not use to override high-dimensional nuclear topology"
2,Cirsium lineare,focused_phylotranscriptome,nuclear_transcriptome,PRJNA1158676,,,,Taiwan_samples_in_paper,bioproject_verified_exact_runs_not_yet_frozen,"recover exact two C. lineare SRRs and test Japan-vs-Taiwan/continental geographic replication"
2,Cirsium brevicaule,Arenicola_origin_test,nuclear_transcriptome,PRJNA1311153,,,,Ryukyu,bioproject_verified_exact_runs_not_yet_frozen,"recover exact SRRs; combine with C. irumtiense and Nipponocirsium to test whether Arenicola is inside/sister to the main Japanese radiation"
2,Cirsium irumtiense,Arenicola_origin_test,nuclear_transcriptome,PRJNA1311153,,,,Ryukyu,bioproject_verified_exact_runs_not_yet_frozen,"recover exact SRRs; test Arenicola placement and reticulation before assigning an extra colonization"
2,Cirsium japonicum var. japonicum,Sinocirsium_Japan_Taiwan_bridge,nuclear_transcriptome,PRJNA1311153,,,,Kyushu_Japan,bioproject_verified_exact_runs_not_yet_frozen,"test whether Japanese Sinocirsium shares the dominant Japanese radiation ancestry or a separate East-Asian bridge"
3,Cirsium nipponicum,organellar_discordance_control,complete_chloroplast,,,,MW248139,Ulleung_Island_Korea,verified_public_accession,"compare nuclear CNIPG placement against plastid topology; do not infer Japanese colonization from plastome alone"
3,Cirsium japonicum,organellar_discordance_control,complete_chloroplast,,,,NC_053767,China,verified_public_accession,"nuclear-plastid discordance control"
3,Cirsium japonicum,organellar_discordance_control,complete_chloroplast,,,,MH778960,Korea,verified_public_accession,"nuclear-plastid discordance control"
