query_taxon,project_tip_status,n_supplement_rows,n_sra_runs,supplement_tree_codes,published_species_names,sra_scientific_names,biosamples,experiments,runs,interpretation
Cirsium domonii,exact_sra_project_tip_verified,1,1,Cirsium domonii,Cirsium domonii Kadota,Cirsium domonii,SAMN34240283,SRX21011499,SRR25265717,Exact scientific-name match is directly verified in PRJNA957074 runinfo and linked to Supplementary Table S1.
Cirsium dipsacolepis,exact_sra_project_tip_verified,1,1,Cirsium dipsacolepis,Cirsium dipsacolepis Matsum.,Cirsium dipsacolepis,SAMN44017836,SRX26291339,SRR30887259,Exact scientific-name match is directly verified in PRJNA957074 runinfo and linked to Supplementary Table S1.
Cirsium tamastoloniferum,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium pendulum,exact_sra_project_tip_verified,1,1,Cirsium pendulum,Cirsium pendulum Fisch. ex. DC.,Cirsium pendulum,SAMN34240327,SRX21011568,SRR25265649,Exact scientific-name match is directly verified in PRJNA957074 runinfo and linked to Supplementary Table S1.
Cirsium sieboldii,exact_sra_project_tip_verified,1,1,Cirsium sieboldii,Cirsium sieboldii Miq.,Cirsium sieboldii,SAMN44017917,SRX26291290,SRR30887308,Exact scientific-name match is directly verified in PRJNA957074 runinfo and linked to Supplementary Table S1.
Cirsium yezoense,exact_sra_project_tip_verified,1,1,Cirsium yezoense,Cirsium yezoense (Maxim.) Makino,Cirsium yezoense,SAMN44017952,SRX26291371,SRR30887226,Exact scientific-name match is directly verified in PRJNA957074 runinfo and linked to Supplementary Table S1.
Cirsium japonicum,exact_sra_project_tip_verified,1,1,Cirsium japonicum,Cirsium japonicum Fisch. ex DC. var. horridum Nakai,Cirsium japonicum,SAMN44017885,SRX26291327,SRR30887271,Exact scientific-name match is directly verified in PRJNA957074 runinfo and linked to Supplementary Table S1.
Cirsium japonicum var. japonicum,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium japonicum var. albescens,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium japonicum var. takaoense,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium japonicum var. australe,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium japonicum var. fukienense,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium brevicaule,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium irumtiense,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium morii,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium kawakamii,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium tatakaense,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium pengii,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium suffultum,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium nipponicum,exact_sra_project_tip_verified,4,1,Cirsium nipponicum|Cirsium nipponicum var. yoshinoi|Cirsium tanakae|Cirsium tonense,Cirsium nipponicum Makino|Cirsium nipponicum var. incomptum (Maxim.) Kadota|Cirsium nipponicum var. yoshinoi (Nakai) Kitam.,Cirsium nipponicum|Cirsium nipponicum var. incomptum|Cirsium tanakae|Cirsium yuki-uenoanum,SAMN34240318|SAMN44017932|SAMN44017937|SAMN44017955,SRX21011558|SRX26291307|SRX26291312|SRX26291374,SRR25265660,Exact scientific-name match is directly verified in PRJNA957074 runinfo and linked to Supplementary Table S1.
Cirsium nipponicum var. incomptum,exact_sra_project_tip_verified,2,1,Cirsium tanakae|Cirsium tonense,Cirsium nipponicum var. incomptum (Maxim.) Kadota,Cirsium nipponicum var. incomptum|Cirsium tanakae,SAMN44017932|SAMN44017937,SRX26291307|SRX26291312,SRR30887286,Exact scientific-name match is directly verified in PRJNA957074 runinfo and linked to Supplementary Table S1.
Cirsium kujuense,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium lineare,exact_sra_project_tip_verified,1,1,Cirsium lineare,Cirsium lineare (Thunb.) Sch.Bip.,Cirsium lineare,SAMN44017876,SRX26291359,SRR30887240,Exact scientific-name match is directly verified in PRJNA957074 runinfo and linked to Supplementary Table S1.
Cirsium setidens,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium rhinoceros,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium schantarense,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium vlassovianum,exact_sra_project_tip_verified,1,2,Cirsium coryletorum|Cirsium vlassovianum,Cirsium coryletorum Kom.|Cirsium vlassovianum Fisch. ex. DC.,Cirsium vlassovianum,SAMN34240275|SAMN34240350,SRX21011551|SRX21011616,SRR25265601|SRR25265666,Exact scientific-name match is directly verified in PRJNA957074 runinfo and linked to Supplementary Table S1.
Cirsium arisanense,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium taiwanense,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium ferum,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium suzukii,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
Cirsium hosokawae,not_recovered_in_supplement_or_exact_runinfo,0,0,,,,,,,No exact accepted-name match was recovered from the supplement tree codes/published names or project runinfo; this is not proof of absence from all nuclear datasets.
