study_id,taxon,module,manipulation_or_contrast,response,estimate_type,estimate,lower,upper,direction,effect_readiness,source_id,source_url,provenance,claim_boundary
POLY_ORIENT_POLLEN_01,Polygonatum cyrtonema,orientation,natural_downward_vs_manipulated_upward,pollen_grains_on_stigma,response_ratio,3.80292,,,downward_higher,quantitative_ready,10.1002/ece3.73221,https://pmc.ncbi.nlm.nih.gov/articles/PMC12967667/,Table_2_and_results,"104.2 vs 27.4 pollen grains; direct manipulation outside Asteraceae; not a Cirsium effect"
POLY_ORIENT_SEEDSET_01,Polygonatum cyrtonema,orientation,natural_downward_vs_manipulated_upward,seed_set,response_ratio,1.29032,,,downward_higher,quantitative_ready,10.1002/ece3.73221,https://pmc.ncbi.nlm.nih.gov/articles/PMC12967667/,Table_2,"0.40 vs 0.31; direct manipulation outside Asteraceae"
POLY_ORIENT_SEEDNUM_01,Polygonatum cyrtonema,orientation,natural_downward_vs_manipulated_upward,seed_number_per_fruit,response_ratio,1.28571,,,downward_higher,quantitative_ready,10.1002/ece3.73221,https://pmc.ncbi.nlm.nih.gov/articles/PMC12967667/,Table_2,"7.2 vs 5.6 seeds/fruit; direct manipulation outside Asteraceae"
POLY_ORIENT_FRUITWT_01,Polygonatum cyrtonema,orientation,natural_downward_vs_manipulated_upward,fruit_fresh_weight,response_ratio,1.37681,,,downward_higher,quantitative_ready,10.1002/ece3.73221,https://pmc.ncbi.nlm.nih.gov/articles/PMC12967667/,Table_2,"0.95 vs 0.69 g; direct manipulation outside Asteraceae"
POLY_ORIENT_FRUITSET25_01,Polygonatum cyrtonema,orientation,natural_downward_vs_manipulated_upward,fruit_set_2025,response_ratio,1.28571,,,downward_higher_nonsignificant,context_only,10.1002/ece3.73221,https://pmc.ncbi.nlm.nih.gov/articles/PMC12967667/,Table_2,"0.54 vs 0.42; p=0.133; do not count as supported fitness effect"
PLAT_ORIENT_RAIN_01,Platycodon grandiflorus,orientation,horizontal_vs_upward_or_downward,pollen_rain_damage,water_burst_fraction,0.30,,,rain_damage_risk,mechanism_ready,10.1111/plb.13414,https://pubmed.ncbi.nlm.nih.gov/35289975/,primary_article,"~30% pollen burst in distilled water; orientation treatment also altered visits/stigma pollen, but comparable group means require full extraction"
BEJ_STICK_FLORIV_01,Bejaria resinosa,stickiness,intact_sticky_vs_MeOH_washed,flower_florivory,risk_difference,-0.21,,,sticky_lower,quantitative_ready,10.1038/s41598-022-23261-2,https://www.nature.com/articles/s41598-022-23261-2,field_manipulation,"0% intact vs 21% washed attacked; risk difference encoded because intact risk is zero"
BEJ_STICK_FRUIT_01,Bejaria resinosa,stickiness,intact_sticky_vs_MeOH_washed,fruit_set,response_ratio_derived_from_reported_percent_change,1.48148,,,sticky_higher,quantitative_ready_with_derivation,10.1038/s41598-022-23261-2,https://www.nature.com/articles/s41598-022-23261-2,field_manipulation,"washed inflorescences reported 32.5% lower fruit set; RR=1/0.675 derived, not raw group means"
AQUI_STICK_DEF_01,Aquilegia vulgaris + A. pyrenaica,stickiness_glandular_trichomes,trichome_protection_removed,flower_and_fruit_damage_plus_fruit_set,direction,,,,intact_trichomes_reduce_damage_and_preserve_fitness,effect_extraction_needed,10.1007/s00442-012-2553-z,https://pubmed.ncbi.nlm.nih.gov/23247688/,multi_population_manipulation,"Eight populations/four subspecies; numerical group summaries must be extracted before pooling"
DAT_STICK_COST_01,Datura wrightii,stickiness_glandular_trichomes,sticky_vs_velvety_under_herbivore_exclusion,first_year_seed_production,percent_change_range,-53,-60,-46,sticky_lower,context_cost_range,10.1890/04-0972,https://doi.org/10.1890/04-0972,three_year_field_experiment,"vegetative/whole-plant glandular trichome system rather than floral-only stickiness; strong cost context, not direct floral calibration"
DAT_STICK_LAMBDA_01,Datura wrightii,stickiness_glandular_trichomes,sticky_vs_velvety,finite_rate_of_increase,percent_change,-13,,,sticky_lower,context_cost,10.1890/04-0972,https://doi.org/10.1890/04-0972,three_year_field_experiment,"whole-plant demographic cost; context for selection-mosaic model"
IPO_DISPLAY_01,Ipomopsis aggregata,display,experimentally_many_vs_few_flowers,pollinator_first_visit_and_total_visits,direction,,,,larger_display_higher_long_distance_attraction,effect_extraction_needed,10.1007/s004420050136,https://pubmed.ncbi.nlm.nih.gov/28307472/,direct_display_manipulation,"large displays first-visited more often p<0.01 and received more total flower visits; proportions visited did not increase"
IPO_DISPLAY_ENEMY_01,Ipomopsis aggregata,display,experimentally_many_vs_few_flowers,predisposal_seed_predation,direction,,,,larger_display_higher_predation,effect_extraction_needed,10.1007/s004420050136,https://pubmed.ncbi.nlm.nih.gov/28307472/,direct_display_manipulation,"predation higher on many-flowered plants p<0.001; numerical group means require full extraction"
IPO_DISPLAY_FIT_01,Ipomopsis aggregata,display,experimentally_many_vs_few_flowers,maternal_reproductive_success,direction,,,,larger_display_net_positive,effect_extraction_needed,10.1007/s004420050136,https://pubmed.ncbi.nlm.nih.gov/28307472/,direct_display_manipulation,"enemy cost did not offset potential maternal fitness gain; no common effect size frozen yet"
PED_BR_POLL_01,Pedicularis rex,bract_defence,water_filled_intact_vs_drained_cupulate_bracts,pollinator_visit_rate,glm_treatment_beta,0.012,,,null_pollinator_effect,quantitative_model_ready,10.1093/aobpla/plv019,https://academic.oup.com/aobpla/article/doi/10.1093/aobpla/plv019/200213,Table_1,"Treatment p=0.958; shows bract-water manipulation did not alter legitimate pollinator visitation"
PED_BR_FINALSET_01,Pedicularis rex,bract_defence,water_filled_intact_vs_drained_cupulate_bracts,final_seed_set,glm_treatment_beta,0.025,,,intact_water_holding_bracts_higher_final_seed_set,quantitative_model_ready,10.1093/aobpla/plv019,https://academic.oup.com/aobpla/article/doi/10.1093/aobpla/plv019/200213,Table_2,"Across-site treatment chi-square=16.710 p<0.0001; coefficient is model-scale and must not be mixed with response ratios without conversion"
