metric,value,unit,interpretation
n_published_samples,6,samples,"one morph-labelled young-leaf transcriptome per locality"
n_white,3,samples,"WY-3560, FB-3629 and LT-3839"
n_bluish_purple,3,samples,"FC-3559, TJ-3807 and NH-3835"
mean_altitude_bluish_purple,1160.666667,m,"descriptive mean of the three published BP samples"
mean_altitude_white,357.000000,m,"descriptive mean of the three published W samples"
mean_difference_bp_minus_w,803.666667,m,"hypothesis-generating; altitude is spatially confounded"
median_altitude_bluish_purple,1127.000000,m,"descriptive median"
median_altitude_white,73.000000,m,"descriptive median"
complete_rank_separation,yes,boolean,"minimum BP altitude exceeds maximum W altitude in these six samples"
exact_label_allocations,20,allocations,"all choose(6,3)=20 allocations enumerated"
exact_one_sided_p,0.050000,probability,"descriptive label-permutation tail for BP higher than W"
exact_two_sided_p,0.100000,probability,"descriptive absolute-difference label-permutation tail"
leave_one_out_difference_min,635.666667,m,"smallest BP-minus-W mean difference after deleting one sample"
leave_one_out_difference_max,1113.666667,m,"largest BP-minus-W mean difference after deleting one sample"
